Sample ID,Sampling period,Location ID,Sampling name,Sample type,Latitude,Longitude,Sea Level,Depth below ground,Problem identified,Description ,Treatment option
KPS,2016 to October 2019,KPS,Karakata Primary School,Borehole,-6.85853014,39.20305967,56,80,"Fecal coliforms, total coliforms, Sodium and chloride(salt)","Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain.Fairly high level of sodium and chloride (Salts) affect taste and may cause hypertension.","Boil this water before consumption or use tablets like water guard before consumption or vigorously shake the water in a transparent container like a clear soft drink bottle and expose it to full sunlight for at least 6 hours, for example on the roof, before consumption.People should moderate their salt intake from other sources if their drinking water is relatively salty"
MPS,2016 to October 2019,MPS,Mogo Primary School,Borehole,-6.8579802,39.20239,54,100,"Fecal coliforms, total coliforms, Sodium and chloride(salt)","Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain.Fairly high level of sodium and chloride (Salts) affect taste and may cause hypertension.","Boil this water before consumption or use tablets like water guard before consumption or vigorously shake the water in a transparent container like a clear soft drink bottle and expose it to full sunlight for at least 6 hours, for example on the roof, before consumption.People should moderate their salt intake from other sources if their drinking water is relatively salty"
UNB,2016 to October 2019,UNB,Uwanja w Ndege,Borehole,-6.864764,39.20223,48,70,Fecal coliforms and total coliforms,"Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain","Boil this water before consumption or use tablets like water guard before consumption or vigorously shake the water in a transparent container like a clear soft drink bottle and expose it to full sunlight for at least 6 hours, for example on the roof, before consumption"
KPB,2016 to October 2019,KPB,Kapirima Private Borehole,Borehole,-6.86426,39.201443,48,70,Fecal coliforms and total coliforms,"Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain","Boil this water before consumption or use tablets like water guard before consumption or vigorously shake the water in a transparent container like a clear soft drink bottle and expose it to full sunlight for at least 6 hours, for example on the roof, before consumption"
MLSW,2016 to October 2019,MLSW,Mama Lucy Shallow well,Shallow well,-6.86660167,39.19652045,59,2,"Nitrate, Fecal coliforms and Total coliforms","Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain.High Nitrate levels can lead to blue-baby syndrome in infants",This water is not suitable for drinking/cooking/meal preparation. Use only for cleaning and gardening.
N0,2016 to October 2019,N0,MFC well,Shallow well,-6.86626614,39.19733047,59,2,"Nitrate, Fecal coliforms and Total coliforms","Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain.High Nitrate levels can lead to blue-baby syndrome in infants.",This water is not suitable for drinking/cooking/meal preparation. Use only for cleaning and gardening.
N11,2016 to October 2019,N11,Piezometer,Piezometer,-6.86626081,39.1973573,59,2,"Nitrate, sodium, Fecal coliforms and total coliforms","Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain.High Nitrate levels can lead blue-baby syndrome in infants.High Sodium levels may cause taste of water to be affected.",This water is not suitable for drinking/cooking/meal preparation. Use only for cleaning and gardening.
N12,2016 to October 2019,N12,Piezometer,Piezometer,-6.86626614,39.19724464,59,2,"Nitrate, sodium, Fecal coliforms and total coliforms","Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain.High Nitrate levels can lead blue-baby syndrome in infants.High Sodium levels may cause taste of water to be affected.",This water is not suitable for drinking/cooking/meal preparation. Use only for cleaning and gardening.
N13,2016 to October 2019,N13,Piezometer,Piezometer,-6.86630076,39.19726074,59,2,"Nitrate, sodium, Fecal coliforms and total coliforms","Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain.High Nitrate levels can lead blue-baby syndrome in infants.High Sodium levels may cause taste of water to be affected.",This water is not suitable for drinking/cooking/meal preparation. Use only for cleaning and gardening.
DAWASA,January 2019 to October 2019,DAWASA,Mogo Street Government Office,DAWASA piped supply,-6.866538,39.197408,59,surface water,Tendency of having Fecal coliforms and total coliforms,"Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain","Boil this water before consumption or use tablets like water guard before consumption or vigorously shake the water in a transparent container like a clear soft drink bottle and expose it to full sunlight for at least 6 hours, for example on the roof, before consumption"
RW,January 2019 to October 2019,RW,Rain water,Rain,-6.866234,39.197321,59,surface water,May get contaminated with bacteria during roof collection and storage,May get contaminated with bacteria during roof collection and storage,"Rainwater is safe for consumption, but may get contaminated during roof collection and storage. It would be prudent to boil this water before consumption or use tablets like water guard before consumption or vigorously shake the water in a transparent container like a clear soft drink bottle and expose it to full sunlight for at least 6 hours, for example on the roof, before consumption."
MBW,2016 to October 2019,MBW,Masafi bottled water,Bottled water,-6.866183,39.197325,59,surface water,No problem identified,Safe for consumption,Safe for drinking
RMF,January 2019 toOctober 2019,RMF,River main flow,River water,-6.857325,39.19238,52,surface water,Fecal coliforms and total coliforms,"Fecal coliforms indicate the presence of pathogens in water which may impose health risk like dysentery, typhoid fever, diarrhea, vomiting, abdominal pain","Boil this water before consumption or use tablets like water guard before consumption or vigorously shake the water in a transparent container like a clear soft drink bottle and expose it to full sunlight for at least 6 hours, for example on the roof, before consumption."
